EEID,Workday ID,Title,Contract Type,Employment Type,Gender,Status,Termination Type,Job Level,Department,Location,Hire Source,Hire Date,Termination Date,Date of Last Promotion,Prior Job Level,Date of Last Job Change,Parental Leave Start,Parental Leave End,Secondary Carer Parental Leave Start,Secondary Carer Parental Leave End
1,W100000,Director of Marketing,Permanent,Full Time,Male,Active,,9,HR,Chicago,Campus Recruiting,2017-12-14,,,8,2017-12-14,,,,
2,W100001,Junior Software Engineer,Contractor,Part Time,Female,Active,,2,HR,New York,Job Board,2019-11-16,,,1,2019-11-16,,,,
3,W100002,Data Scientist,Permanent,Part Time,Male,Active,,6,Marketing,New York,Recruiter,2016-04-25,,2020-01-11,5,2020-01-11,,,,
4,W100003,COO,Permanent,Full Time,Male,Active,,13,Finance,Boston,Job Board,2014-06-05,,,,2014-06-05,,,,
5,W100004,Senior Software Engineer,Contractor,Part Time,Male,Active,,6,Engineering,Boston,Campus Recruiting,2012-03-07,,2019-03-11,5,2019-03-11,,,,
6,W100005,CIO,Permanent,Full Time,Male,Active,,13,HR,Boston,Campus Recruiting,2021-07-04,,,12,2021-07-04,,,,
7,W100006,COO,Permanent,Full Time,Female,Active,,13,Sales,Chicago,Campus Recruiting,2019-04-12,,,12,2023-07-15,,,,
8,W100007,SVP of Engineering,Permanent,Full Time,Female,Terminated,Involuntary,12,Marketing,Remote,Referral,2015-11-18,2015-09-17,,,2015-11-18,,,,
9,W100008,Data Analyst,Contractor,Part Time,Male,Active,,3,Product,Boston,Job Board,2014-04-28,,2019-02-03,2,2019-02-03,,,,
10,W100009,Data Scientist,Permanent,Full Time,Female,Active,,6,Engineering,Remote,Internal Transfer,2010-04-27,,,,2010-04-27,,,,
11,W100010,CIO,Permanent,Full Time,Female,Active,,13,Product,San Francisco,Referral,2022-03-25,,,,2022-03-25,,,,
12,W100011,Junior Software Engineer,Contractor,Part Time,Male,Active,,2,Product,Austin,Job Board,2019-11-05,,,,2019-11-05,,,,
13,W100012,Senior Sales Associate,Contractor,Part Time,Female,Terminated,Voluntary,6,IT,Remote,Referral,2014-07-15,2018-12-06,2015-12-11,5,2015-12-11,,,,
14,W100013,Software Engineer,Contractor,Full Time,Male,Active,,4,Finance,Boston,Referral,2022-01-18,,,3,2022-01-18,,,,
15,W100014,CTO,Permanent,Full Time,Female,Terminated,Voluntary,13,Engineering,San Francisco,Campus Recruiting,2014-05-11,2024-08-06,2017-11-19,12,2017-11-19,,,,
16,W100015,Senior Data Analyst,Permanent,Part Time,Female,Terminated,Involuntary,5,Operations,New York,Campus Recruiting,2012-08-13,2018-04-27,,,2012-08-13,2020-03-16,2020-04-27,,
17,W100016,Senior Marketing Specialist,Permanent,Full Time,Male,Active,,6,Finance,Remote,Job Board,2011-08-21,,,,2023-06-10,,,,
18,W100017,UX Designer,Permanent,Part Time,Female,Terminated,Voluntary,5,HR,Austin,Job Board,2014-11-03,2021-09-06,,,2014-11-03,,,,
19,W100018,SVP of Marketing,Permanent,Full Time,Female,Active,,12,HR,Remote,Internal Transfer,2012-06-19,,2015-07-25,11,2015-07-25,,,,
20,W100019,Senior Sales Associate,Permanent,Part Time,Male,Active,,6,Operations,Boston,Recruiter,2023-07-12,,,,2023-07-12,,,2021-02-20,2021-04-03
21,W100020,Director of Sales,Permanent,Full Time,Male,Active,,9,Operations,Boston,Recruiter,2017-10-21,,2018-12-12,8,2018-12-12,,,,
22,W100021,Product Manager,Contractor,Full Time,Female,Active,,7,Operations,Remote,Job Board,2020-08-10,,,,2020-08-10,,,,
23,W100022,Sales Associate,Permanent,Part Time,Male,Active,,4,Engineering,Boston,Recruiter,2013-02-11,,2021-06-05,3,2021-06-05,,,,
24,W100023,Senior Marketing Specialist,Contractor,Full Time,Female,Terminated,Voluntary,6,Operations,Remote,Job Board,2013-03-18,2020-08-24,2023-05-26,5,2023-05-26,,,,
25,W100024,Marketing Specialist,Permanent,Full Time,Male,Active,,4,Sales,Chicago,Internal Transfer,2010-07-03,,2015-06-25,3,2015-06-25,,,,
26,W100025,Junior Marketing Specialist,Permanent,Full Time,Male,Active,,2,Sales,San Francisco,Job Board,2020-12-27,,,1,2020-12-27,,,,
27,W100026,Sales Manager,Contractor,Part Time,Female,Terminated,Involuntary,7,HR,Austin,Internal Transfer,2013-04-03,2018-02-20,,,2023-12-20,,,,
28,W100027,Vice President of Marketing,Permanent,Full Time,Male,Active,,11,Finance,Boston,Internal Transfer,2020-06-21,,,10,2023-04-30,,,,
29,W100028,CEO,Permanent,Full Time,Male,Active,,14,Product,New York,Job Board,2015-10-15,,2023-11-14,13,2023-11-14,,,,
30,W100029,Director of Marketing,Permanent,Full Time,Female,Active,,9,Product,Boston,Internal Transfer,2017-10-04,,,,2017-10-04,,,,
31,W100030,CIO,Permanent,Full Time,Male,Terminated,Involuntary,13,IT,Boston,Recruiter,2011-10-16,2018-03-21,2022-05-19,12,2022-05-19,,,,
32,W100031,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,Sales,Chicago,Internal Transfer,2020-05-06,,2021-10-04,7,2021-10-04,2021-05-03,2021-06-14,,
